Product/Internal Reference,Product/Name,Product/Barcode,Financial Category,Available Quantity,Quantity,Lot/Serial Number,Location,Lot/Serial Number/Production Date,Lot/Serial Number/Expiration Date,Lot/Serial Number/Removal Date,Lot/Serial Number/Alert Date,Product/Breadfast Barcode
36644770,Rhodes Natural Feta Gold (250g),6.224e+12,Centralized Fresh,351.0,351.0,36644770V09690107202616950P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-01 14:00:00,2026-05-26 14:00:00,2026-07-01 14:00:00,6224009210657
36644773,Rhodes Cheddar Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644773V09690107202618999P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-01 15:00:00,2026-05-26 15:00:00,2026-07-01 15:00:00,6224009210541
36644775,Rhodes Pastrami Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644775V09690107202616721P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210138
36644777,Rhodes Roumy Cheese (500g),6.2213e+12,Centralized Fresh,156.0,156.0,36644777V09690107202614612P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210824
36644778,Rhodes Natural Feta Gold (500g),UNKNOWN,Centralized Fresh,360.0,360.0,36644778V09690107202617489P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210664
FAC-00025,Shanon,UNKNOWN,All / ASTS / Furniture,14.0,14.0,FAC-0002514229042025P1009911111,KAT/Stock,2024-10-31 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,UNKNOWN
CONS0009-A,A4 Paper,UNKNOWN,All / Consumables / Cons - Operations,5.0,5.0,CONS0009-A37318122024P23105611111,KAT/Stock,2024-11-25 20:12:36,2027-01-12 00:00:00,2026-07-16 01:00:00,2026-07-16 01:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,66.0,66.0,CONS0007-A1011072025P56885,KAT/Stock,2025-01-12 13:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,UNKNOWN
CONS-489,flash,UNKNOWN,All / Consumables / Cons - Cleaning,0.0,0.0,CONS-489V069330092027P63219,KAT/Stock,2024-09-30 14:00:00,2027-09-30 14:00:00,2024-09-30 14:00:00,2024-09-30 14:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,270.0,270.0,CONS0007-A1021072025P63225,KAT/Stock,2025-01-22 13:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,UNKNOWN
36644770,Rhodes Natural Feta Gold (250g),6.224e+12,Centralized Fresh,351.0,351.0,36644770V09690107202616950P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-01 14:00:00,2026-05-26 14:00:00,2026-07-01 14:00:00,6224009210657
36644773,Rhodes Cheddar Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644773V09690107202618999P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-01 15:00:00,2026-05-26 15:00:00,2026-07-01 15:00:00,6224009210541
36644775,Rhodes Pastrami Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644775V09690107202616721P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210138
36644777,Rhodes Roumy Cheese (500g),6.2213e+12,Centralized Fresh,156.0,156.0,36644777V09690107202614612P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210824
36644778,Rhodes Natural Feta Gold (500g),UNKNOWN,Centralized Fresh,360.0,360.0,36644778V09690107202617489P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210664
FAC-00025,Shanon,UNKNOWN,All / ASTS / Furniture,14.0,14.0,FAC-0002514229042025P1009911111,KAT/Stock,2024-10-31 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,UNKNOWN
CONS0009-A,A4 Paper,UNKNOWN,All / Consumables / Cons - Operations,5.0,5.0,CONS0009-A37318122024P23105611111,KAT/Stock,2024-11-25 20:12:36,2027-01-12 00:00:00,2026-07-16 01:00:00,2026-07-16 01:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,66.0,66.0,CONS0007-A1011072025P56885,KAT/Stock,2025-01-12 13:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,UNKNOWN
CONS-489,flash,UNKNOWN,All / Consumables / Cons - Cleaning,0.0,0.0,CONS-489V069330092027P63219,KAT/Stock,2024-09-30 14:00:00,2027-09-30 14:00:00,2024-09-30 14:00:00,2024-09-30 14:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,270.0,270.0,CONS0007-A1021072025P63225,KAT/Stock,2025-01-22 13:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,UNKNOWN
36644770,Rhodes Natural Feta Gold (250g),6.224e+12,Centralized Fresh,351.0,351.0,36644770V09690107202616950P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-01 14:00:00,2026-05-26 14:00:00,2026-07-01 14:00:00,6224009210657
36644773,Rhodes Cheddar Cheese (500g),3.61034e+12,Centralized Fresh,156.0,156.0,36644773V09690107202618999P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-01 15:00:00,2026-05-26 15:00:00,2026-07-01 15:00:00,6224009210541
36644775,Rhodes Pastrami Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644775V09690107202616721P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210138
36644777,Rhodes Roumy Cheese (500g),6.2213e+12,Centralized Fresh,156.0,156.0,36644777V09690107202614612P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210824
36644778,Rhodes Natural Feta Gold (500g),UNKNOWN,Centralized Fresh,360.0,360.0,36644778V09690107202617489P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210664
FAC-00025,Shanon,UNKNOWN,All / ASTS / Furniture,14.0,14.0,FAC-0002514229042025P1009911111,KAT/Stock,2024-10-31 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,UNKNOWN
CONS0009-A,A4 Paper,UNKNOWN,All / Consumables / Cons - Operations,5.0,5.0,CONS0009-A37318122024P23105611111,KAT/Stock,2024-11-25 20:12:36,2027-01-12 00:00:00,2026-07-16 01:00:00,2026-07-16 01:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,66.0,66.0,CONS0007-A1011072025P56885,KAT/Stock,2025-01-12 13:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,UNKNOWN
CONS-489,flash,UNKNOWN,All / Consumables / Cons - Cleaning,0.0,0.0,CONS-489V069330092027P63219,KAT/Stock,2024-09-30 14:00:00,2027-09-30 14:00:00,2024-09-30 14:00:00,2024-09-30 14:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,270.0,270.0,CONS0007-A1021072025P63225,KAT/Stock,2025-01-22 13:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,UNKNOWN
36644770,Rhodes Natural Feta Gold (250g),6.224e+12,Centralized Fresh,351.0,351.0,36644770V09690107202616950P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-01 14:00:00,2026-05-26 14:00:00,2026-07-01 14:00:00,6224009210657
36644773,Rhodes Cheddar Cheese (500g),3.61034e+12,Centralized Fresh,156.0,156.0,36644773V09690107202618999P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-01 15:00:00,2026-05-26 15:00:00,2026-07-01 15:00:00,6224009210541
36644775,Rhodes Pastrami Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644775V09690107202616721P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210138
36644777,Rhodes Roumy Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644777V09690107202614612P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210824
36644778,Rhodes Natural Feta Gold (500g),UNKNOWN,Centralized Fresh,360.0,360.0,36644778V09690107202617489P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210664
FAC-00025,Shanon,UNKNOWN,All / ASTS / Furniture,14.0,14.0,FAC-0002514229042025P1009911111,KAT/Stock,2024-10-31 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,UNKNOWN
CONS0009-A,A4 Paper,UNKNOWN,All / Consumables / Cons - Operations,5.0,5.0,CONS0009-A37318122024P23105611111,KAT/Stock,2024-11-25 20:12:36,2027-01-12 00:00:00,2026-07-16 01:00:00,2026-07-16 01:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,66.0,66.0,CONS0007-A1011072025P56885,KAT/Stock,2025-01-12 13:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,UNKNOWN
CONS-489,flash,UNKNOWN,All / Consumables / Cons - Cleaning,0.0,0.0,CONS-489V069330092027P63219,KAT/Stock,2024-09-30 14:00:00,2027-09-30 14:00:00,2024-09-30 14:00:00,2024-09-30 14:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,270.0,270.0,CONS0007-A1021072025P63225,KAT/Stock,2025-01-22 13:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,UNKNOWN
36644770,Rhodes Natural Feta Gold (250g),6.224e+12,Centralized Fresh,351.0,351.0,36644770V09690107202616950P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-01 14:00:00,2026-05-26 14:00:00,2026-07-01 14:00:00,6224009210657
36644773,Rhodes Cheddar Cheese (500g),3.61034e+12,Centralized Fresh,156.0,156.0,36644773V09690107202618999P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-01 15:00:00,2026-05-26 15:00:00,2026-07-01 15:00:00,6224009210541
36644775,Rhodes Pastrami Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644775V09690107202616721P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210138
36644777,Rhodes Roumy Cheese (500g),6.2213e+12,Centralized Fresh,156.0,156.0,36644777V09690107202614612P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210824
36644778,Rhodes Natural Feta Gold (500g),UNKNOWN,Centralized Fresh,360.0,360.0,36644778V09690107202617489P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210664
FAC-00025,Shanon,UNKNOWN,All / ASTS / Furniture,14.0,14.0,FAC-0002514229042025P1009911111,KAT/Stock,2024-10-31 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,UNKNOWN
CONS0009-A,A4 Paper,UNKNOWN,All / Consumables / Cons - Operations,5.0,5.0,CONS0009-A37318122024P23105611111,KAT/Stock,2024-11-25 20:12:36,2027-01-12 00:00:00,2026-07-16 01:00:00,2026-07-16 01:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,66.0,66.0,CONS0007-A1011072025P56885,KAT/Stock,2025-01-12 13:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,UNKNOWN
CONS-489,flash,UNKNOWN,All / Consumables / Cons - Cleaning,0.0,0.0,CONS-489V069330092027P63219,KAT/Stock,2024-09-30 14:00:00,2027-09-30 14:00:00,2024-09-30 14:00:00,2024-09-30 14:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,270.0,270.0,CONS0007-A1021072025P63225,KAT/Stock,2025-01-22 13:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,UNKNOWN
36644770,Rhodes Natural Feta Gold (250g),UNKNOWN,Centralized Fresh,351.0,351.0,36644770V09690107202616950P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-01 14:00:00,2026-05-26 14:00:00,2026-07-01 14:00:00,6224009210657
36644773,Rhodes Cheddar Cheese (500g),3.61034e+12,Centralized Fresh,156.0,156.0,36644773V09690107202618999P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-01 15:00:00,2026-05-26 15:00:00,2026-07-01 15:00:00,6224009210541
36644775,Rhodes Pastrami Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644775V09690107202616721P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210138
36644777,Rhodes Roumy Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644777V09690107202614612P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210824
36644778,Rhodes Natural Feta Gold (500g),UNKNOWN,Centralized Fresh,360.0,360.0,36644778V09690107202617489P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210664
FAC-00025,Shanon,UNKNOWN,All / ASTS / Furniture,14.0,14.0,FAC-0002514229042025P1009911111,KAT/Stock,2024-10-31 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,UNKNOWN
CONS0009-A,A4 Paper,UNKNOWN,All / Consumables / Cons - Operations,5.0,5.0,CONS0009-A37318122024P23105611111,KAT/Stock,2024-11-25 20:12:36,2027-01-12 00:00:00,2026-07-16 01:00:00,2026-07-16 01:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,66.0,66.0,CONS0007-A1011072025P56885,KAT/Stock,2025-01-12 13:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,UNKNOWN
CONS-489,flash,UNKNOWN,All / Consumables / Cons - Cleaning,0.0,0.0,CONS-489V069330092027P63219,KAT/Stock,2024-09-30 14:00:00,2027-09-30 14:00:00,2024-09-30 14:00:00,2024-09-30 14:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,270.0,270.0,CONS0007-A1021072025P63225,KAT/Stock,2025-01-22 13:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,UNKNOWN
36644770,Rhodes Natural Feta Gold (250g),UNKNOWN,Centralized Fresh,351.0,351.0,36644770V09690107202616950P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-01 14:00:00,2026-05-26 14:00:00,2026-07-01 14:00:00,6224009210657
36644773,Rhodes Cheddar Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644773V09690107202618999P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-01 15:00:00,2026-05-26 15:00:00,2026-07-01 15:00:00,6224009210541
36644775,Rhodes Pastrami Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644775V09690107202616721P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210138
36644777,Rhodes Roumy Cheese (500g),6.2213e+12,Centralized Fresh,156.0,156.0,36644777V09690107202614612P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210824
36644778,Rhodes Natural Feta Gold (500g),UNKNOWN,Centralized Fresh,360.0,360.0,36644778V09690107202617489P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210664
FAC-00025,Shanon,UNKNOWN,All / ASTS / Furniture,14.0,14.0,FAC-0002514229042025P1009911111,KAT/Stock,2024-10-31 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,UNKNOWN
CONS0009-A,A4 Paper,UNKNOWN,All / Consumables / Cons - Operations,5.0,5.0,CONS0009-A37318122024P23105611111,KAT/Stock,2024-11-25 20:12:36,2027-01-12 00:00:00,2026-07-16 01:00:00,2026-07-16 01:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,66.0,66.0,CONS0007-A1011072025P56885,KAT/Stock,2025-01-12 13:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,UNKNOWN
CONS-489,flash,UNKNOWN,All / Consumables / Cons - Cleaning,0.0,0.0,CONS-489V069330092027P63219,KAT/Stock,2024-09-30 14:00:00,2027-09-30 14:00:00,2024-09-30 14:00:00,2024-09-30 14:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,270.0,270.0,CONS0007-A1021072025P63225,KAT/Stock,2025-01-22 13:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,UNKNOWN
36644770,Rhodes Natural Feta Gold (250g),6.224e+12,Centralized Fresh,351.0,351.0,36644770V09690107202616950P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-01 14:00:00,2026-07-16 01:00:00,2026-07-01 14:00:00,6224009210657
36644773,Rhodes Cheddar Cheese (500g),3.61034e+12,Centralized Fresh,156.0,156.0,36644773V09690107202618999P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-01 15:00:00,2026-05-26 15:00:00,2026-07-01 15:00:00,6224009210541
36644775,Rhodes Pastrami Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644775V09690107202616721P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210138
36644777,Rhodes Roumy Cheese (500g),6.2213e+12,Centralized Fresh,156.0,156.0,36644777V09690107202614612P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210824
36644778,Rhodes Natural Feta Gold (500g),UNKNOWN,Centralized Fresh,360.0,360.0,36644778V09690107202617489P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210664
FAC-00025,Shanon,UNKNOWN,All / ASTS / Furniture,14.0,14.0,FAC-0002514229042025P1009911111,KAT/Stock,2024-10-31 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,UNKNOWN
CONS0009-A,A4 Paper,UNKNOWN,All / Consumables / Cons - Operations,5.0,5.0,CONS0009-A37318122024P23105611111,KAT/Stock,2024-11-25 20:12:36,2027-01-12 00:00:00,2026-07-16 01:00:00,2026-07-16 01:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,66.0,66.0,CONS0007-A1011072025P56885,KAT/Stock,2025-01-12 13:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,UNKNOWN
CONS-489,flash,UNKNOWN,All / Consumables / Cons - Cleaning,0.0,0.0,CONS-489V069330092027P63219,KAT/Stock,2024-09-30 14:00:00,2027-09-30 14:00:00,2024-09-30 14:00:00,2024-09-30 14:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,270.0,270.0,CONS0007-A1021072025P63225,KAT/Stock,2025-01-22 13:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,UNKNOWN
36644770,Rhodes Natural Feta Gold (250g),UNKNOWN,Centralized Fresh,351.0,351.0,36644770V09690107202616950P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-01 14:00:00,2026-05-26 14:00:00,2026-07-01 14:00:00,6224009210657
36644773,Rhodes Cheddar Cheese (500g),3.61034e+12,Centralized Fresh,156.0,156.0,36644773V09690107202618999P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-01 15:00:00,2026-05-26 15:00:00,2026-07-01 15:00:00,6224009210541
36644775,Rhodes Pastrami Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644775V09690107202616721P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210138
36644777,Rhodes Roumy Cheese (500g),6.2213e+12,Centralized Fresh,156.0,156.0,36644777V09690107202614612P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210824
36644778,Rhodes Natural Feta Gold (500g),UNKNOWN,Centralized Fresh,360.0,360.0,36644778V09690107202617489P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210664
FAC-00025,Shanon,UNKNOWN,All / ASTS / Furniture,14.0,14.0,FAC-0002514229042025P1009911111,KAT/Stock,2024-10-31 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,UNKNOWN
CONS0009-A,A4 Paper,UNKNOWN,All / Consumables / Cons - Operations,5.0,5.0,CONS0009-A37318122024P23105611111,KAT/Stock,2024-11-25 20:12:36,2027-01-12 00:00:00,2026-07-16 01:00:00,2026-07-16 01:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,66.0,66.0,CONS0007-A1011072025P56885,KAT/Stock,2025-01-12 13:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,UNKNOWN
CONS-489,flash,UNKNOWN,All / Consumables / Cons - Cleaning,0.0,0.0,CONS-489V069330092027P63219,KAT/Stock,2024-09-30 14:00:00,2027-09-30 14:00:00,2024-09-30 14:00:00,2024-09-30 14:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,270.0,270.0,CONS0007-A1021072025P63225,KAT/Stock,2025-01-22 13:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,UNKNOWN
36644770,Rhodes Natural Feta Gold (250g),6.224e+12,Centralized Fresh,351.0,351.0,36644770V09690107202616950P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-01 14:00:00,2026-05-26 14:00:00,2026-07-01 14:00:00,6224009210657
36644773,Rhodes Cheddar Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644773V09690107202618999P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-01 15:00:00,2026-05-26 15:00:00,2026-07-01 15:00:00,6224009210541
36644775,Rhodes Pastrami Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644775V09690107202616721P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210138
36644777,Rhodes Roumy Cheese (500g),6.2213e+12,Centralized Fresh,156.0,156.0,36644777V09690107202614612P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210824
36644778,Rhodes Natural Feta Gold (500g),UNKNOWN,Centralized Fresh,360.0,360.0,36644778V09690107202617489P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,UNKNOWN
FAC-00025,Shanon,UNKNOWN,All / ASTS / Furniture,14.0,14.0,FAC-0002514229042025P1009911111,KAT/Stock,2024-10-31 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,UNKNOWN
CONS0009-A,A4 Paper,UNKNOWN,All / Consumables / Cons - Operations,5.0,5.0,CONS0009-A37318122024P23105611111,KAT/Stock,2024-11-25 20:12:36,2027-01-12 00:00:00,2026-07-16 01:00:00,2026-07-16 01:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,66.0,66.0,CONS0007-A1011072025P56885,KAT/Stock,2025-01-12 13:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,UNKNOWN
CONS-489,flash,UNKNOWN,All / Consumables / Cons - Cleaning,0.0,0.0,CONS-489V069330092027P63219,KAT/Stock,2024-09-30 14:00:00,2027-09-30 14:00:00,2024-09-30 14:00:00,2024-09-30 14:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,270.0,270.0,CONS0007-A1021072025P63225,KAT/Stock,2025-01-22 13:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,2026-07-21 14:00:00,UNKNOWN
36644770,Rhodes Natural Feta Gold (250g),UNKNOWN,Centralized Fresh,351.0,351.0,36644770V09690107202616950P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-01 14:00:00,2026-05-26 14:00:00,2026-07-01 14:00:00,6224009210657
36644773,Rhodes Cheddar Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644773V09690107202618999P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-01 15:00:00,2026-05-26 15:00:00,2026-07-01 15:00:00,6224009210541
36644775,Rhodes Pastrami Cheese (500g),UNKNOWN,Centralized Fresh,156.0,156.0,36644775V09690107202616721P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210138
36644777,Rhodes Roumy Cheese (500g),6.2213e+12,Centralized Fresh,156.0,156.0,36644777V09690107202614612P162753,KAT/Stock,2025-07-01 15:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210824
36644778,Rhodes Natural Feta Gold (500g),UNKNOWN,Centralized Fresh,360.0,360.0,36644778V09690107202617489P162753,KAT/Stock,2025-07-01 14:00:00,2026-07-21 14:00:00,2026-07-16 01:00:00,2026-07-01 15:00:00,6224009210664
FAC-00025,Shanon,UNKNOWN,All / ASTS / Furniture,14.0,14.0,FAC-0002514229042025P1009911111,KAT/Stock,2024-10-31 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,2025-04-29 16:00:00,UNKNOWN
CONS0009-A,A4 Paper,UNKNOWN,All / Consumables / Cons - Operations,5.0,5.0,CONS0009-A37318122024P23105611111,KAT/Stock,2024-11-25 20:12:36,2027-01-12 00:00:00,2026-07-16 01:00:00,2026-07-16 01:00:00,UNKNOWN
CONS0007-A,Big Tissue Roll,UNKNOWN,All / Consumables / Cons - Cleaning,66.0,66.0,CONS0007-A1011072025P56885,KAT/Stock,2025-01-12 13:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,2028-07-11 14:00:00,UNKNOWN
